"Address","Status Code","Title 1","Indexability","Indexability Status","Clicks","Impressions","CTR","Position"
"https://columbusrecoverycenter.com/","301","","Non-Indexable","Redirected","","","",""
"https://www.columbusrecoverycenter.com/","200","Drug and Alcohol Rehab in Columbus, Ohio | The Recovery Village","Indexable","","111","70443","0.002","36.370"
"https://www.columbusrecoverycenter.com/admissions/checklist/","200","Rehab and Treatment Checklist | Columbus Recovery Village","Indexable","","3","557","0.005","60.410"
"https://www.columbusrecoverycenter.com/admissions/","200","Admitting Into Our Addiction Treatment Programs at The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","1","1071","0.001","4.680"
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","200","Outpatient Drug & Alcohol Rehab in Columbus, Ohio","Indexable","","0","39","0.000","71.770"
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","200","Mansfield Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","1","680","0.002","43.760"
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","200","Toledo Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","0","1303","0.000","56.830"
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","200","Groveport Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","0","235","0.000","22.000"
"https://www.columbusrecoverycenter.com/privacy-policy/","200","Privacy Policy - The Recovery Village Columbus","Indexable","","0","6","0.000","12.000"
"https://www.columbusrecoverycenter.com/depression-resource-guide/","200","Dealing With Depression: A Resource Guide | Columbus Recovery Center","Indexable","","2","1118","0.002","57.680"
"https://www.columbusrecoverycenter.com/drugs/","200","Drugs of Addiction | The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","0","1347","0.000","5.490"
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","200","Prescription Drug Abuse in America | Understanding the Epidemic","Indexable","","21","1616","0.013","46.400"
"https://www.columbusrecoverycenter.com/treatment-programs/intensive-outpatient/","200","Intensive Outpatient Program (IOP) for Addiction in Columbus, Ohio","Indexable","","7","1846","0.004","51.080"
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland/","200","Cleveland Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","1","1361","0.001","57.540"
"https://www.columbusrecoverycenter.com/our-team/","200","Our Facility Care Team - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Indexable","","4","296","0.013","9.750"
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","200","Partial Hospitalization Program (PHP) for Addiction in Columbus, Ohio","Indexable","","0","330","0.000","38.060"
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","200","Springfield Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","2","1823","0.001","46.650"
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","200","Dayton Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","0","1608","0.000","51.420"
"https://www.columbusrecoverycenter.com/treatment-programs/","200","Ohio Addiction Treatment Programs at The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","0","1571","0.000","15.230"
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","200","Lorain Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","1","334","0.003","28.680"
"https://www.columbusrecoverycenter.com/treatment-programs/aftercare/","200","Addiction Treatment Aftercare & Sober Living Programs at The Recovery Village Columbus","Indexable","","0","73","0.000","61.470"
"https://www.columbusrecoverycenter.com/treatment-programs/residential-rehabilitation/","200","Inpatient Rehab & Residental Treatment at The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","0","234","0.000","82.200"
"https://www.columbusrecoverycenter.com/online-terms-conditions-use/","200","Online Terms and Conditions of Use - The Recovery Village at Columbus","Indexable","","0","2","0.000","5.500"
"https://www.columbusrecoverycenter.com/veterans/","200","Resources for Veterans Dealing With Addiction | Columbus Recovery Center","Indexable","","6","4374","0.001","48.960"
"https://www.columbusrecoverycenter.com/continuing-education/","200","Continuning Education Events & On-Demand Webinars | The Recovery Village Columbus","Non-Indexable","Canonicalised","0","24","0.000","38.250"
"https://www.columbusrecoverycenter.com/drug-addiction-hotline/","200","Drug Addiction Hotline - Talk to Someone 24/7 - Free & Confidential","Indexable","","16","10139","0.002","55.610"
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","200","Canton Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","1","1299","0.001","37.450"
"https://www.columbusrecoverycenter.com/recovery-blog/","200","The Recovery Blog - The Recovery Village Columbus","Indexable","","1","134","0.007","65.340"
"https://www.columbusrecoverycenter.com/blog/adderall-and-alcohol/","200","Adderall and Alcohol: Risks & Side Effects","Indexable","","0","1112","0.000","65.100"
"https://www.columbusrecoverycenter.com/facility/","200","Drug Rehab Facility & Amenities | The Recovery Village Columbus","Indexable","","1","1449","0.001","8.950"
"https://www.columbusrecoverycenter.com/alcohol-addiction-resource-guide/","200","Understanding and Combating Alcohol Addiction: A Resource Guide - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Indexable","","4","832","0.005","51.580"
"https://www.columbusrecoverycenter.com/admissions/faqs/","200","Questions About Drug Rehab | The Recovery Village Columbus Drug & Alcohol Rehab","Indexable","","0","298","0.000","49.530"
"https://www.columbusrecoverycenter.com/admissions/insurance/","200","Insurance Options for Drug Rehab | Columbus Drug and Alcohol Rehab","Indexable","","3","4156","0.001","59.940"
"https://www.columbusrecoverycenter.com/ohio-rehab/newark/","200","Newark Drug and Alcohol Rehab, Detox, and Treatment Resources","Indexable","","4","1446","0.003","36.950"
"https://www.columbusrecoverycenter.com/marijuana-abuse-resources/","200","Marijuana Abuse Resource Guide - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Indexable","","12","1386","0.009","55.740"
"https://www.columbusrecoverycenter.com/fortitude/","200","Fortitude: Substance Abuse & Mental Health Treatment for First Responders","Indexable","","55","1666","0.033","45.940"
"https://www.columbusrecoverycenter.com/students/","200","Ohio Substance Abuse Resources for Students | Drugs in High School and College","Indexable","","1","113","0.009","43.240"
"https://www.columbusrecoverycenter.com/about/","200","About Us - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Indexable","","2","829","0.002","8.520"
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","200","Online Recovery Meetings - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","Canonicalised","0","3","0.000","10.670"
