"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.columbusrecoverycenter.com/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/checklist/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/privacy-policy/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/depression-resource-guide/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/intensive-outpatient/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/our-team/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/aftercare/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/residential-rehabilitation/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/online-terms-conditions-use/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/veterans/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/continuing-education/","0","0","0","0","","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/drug-addiction-hotline/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/recovery-blog/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/blog/adderall-and-alcohol/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/facility/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction-resource-guide/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/faqs/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/insurance/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/newark/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/marijuana-abuse-resources/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/fortitude/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/students/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/about/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","0","0","0","0","","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/ohio-rehab/marion/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/outreach/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/telehealth-app/","0","0","0","0","","Non-Indexable","Canonicalised"
"https://www.columbusrecoverycenter.com/ohio-rehab/westerville/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/contact-us/","0","0","0","0","","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/akron/","0","0","0","0","","Indexable",""
