"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-11.jpg","image/jpeg","200","OK","Indexable","","","88","","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-11.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/11/pill.jpg","image/jpeg","200","OK","Indexable","","","74","","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/11/pill.jpg"
"https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","text/html; charset=UTF-8","200","OK","Indexable","","2626e849090e79df2b617f2e7cebbf09","101","https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/"
"https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","text/html; charset=UTF-8","200","OK","Indexable","","3f04cda9d20a386af836f49362d29358","81","https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/"
"https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","text/html; charset=UTF-8","200","OK","Indexable","","d44007bf91d1c2d0c383bbe5643d92ec","72","https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/"
"https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","text/html; charset=UTF-8","200","OK","Indexable","","89189fbbc0fda21911d45944bac9db1e","77","https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/"
"https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","text/html; charset=UTF-8","200","OK","Indexable","","f97d112a4e38de16150479f92330fa1c","88","https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/03/Drug-Side-Effects-1024x512.jpg","image/jpeg","200","OK","Indexable","","","96","","https://www.columbusrecoverycenter.com/wp-content/uploads/2021/03/Drug-Side-Effects-1024x512.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/07/Local-News-Cities-And-States-Look-To-Big-Pharma-To-Cover-Costs-Of-The-Opioid-Epidemic-1184x592.jpg","image/jpeg","200","OK","Indexable","","","164","","https://www.columbusrecoverycenter.com/wp-content/uploads/2019/07/Local-News-Cities-And-States-Look-To-Big-Pharma-To-Cover-Costs-Of-The-Opioid-Epidemic-1184x592.jpg"
"https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","text/html; charset=UTF-8","200","OK","Indexable","","e8c4a2fd083bb7375ee082caa629c0e3","80","https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/"
"https://www.columbusrecoverycenter.com/treatment-rehab/","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","55","","https://www.columbusrecoverycenter.com/treatment-rehab/"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/05/Online-Drug-Rehab.jpg","image/jpeg","200","OK","Indexable","","","87","","https://www.columbusrecoverycenter.com/wp-content/uploads/2021/05/Online-Drug-Rehab.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/elementor/css/post-17212.css","text/css","200","OK","Indexable","","","86","","https://www.columbusrecoverycenter.com/wp-content/uploads/elementor/css/post-17212.css"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2017/08/shutterstock_307283384-300x200.jpg","image/jpeg","200","OK","Indexable","","","100","","https://www.columbusrecoverycenter.com/wp-content/uploads/2017/08/shutterstock_307283384-300x200.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/05/Medical-Detox-Support-150x150.jpg","image/jpeg","200","OK","Indexable","","","99","","https://www.columbusrecoverycenter.com/wp-content/uploads/2021/05/Medical-Detox-Support-150x150.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-6.jpg","image/jpeg","200","OK","Indexable","","","87","","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-6.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/09/Methadone-Withdrawal-Detox-trvc-1-1024x512.jpg","image/jpeg","200","OK","Indexable","","","112","","https://www.columbusrecoverycenter.com/wp-content/uploads/2019/09/Methadone-Withdrawal-Detox-trvc-1-1024x512.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/elementor/css/post-17194.css","text/css","200","OK","Indexable","","","86","","https://www.columbusrecoverycenter.com/wp-content/uploads/elementor/css/post-17194.css"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/05/TRVC-Is-Kratom-Legal-865x433.jpg","image/jpeg","200","OK","Indexable","","","98","","https://www.columbusrecoverycenter.com/wp-content/uploads/2019/05/TRVC-Is-Kratom-Legal-865x433.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/02/cdc-suicide-rates.jpg","image/jpeg","200","OK","Indexable","","","87","","https://www.columbusrecoverycenter.com/wp-content/uploads/2019/02/cdc-suicide-rates.jpg"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/08/ohio-drug-rehab2-2.jpg","image/jpeg","200","OK","Indexable","","","88","","https://www.columbusrecoverycenter.com/wp-content/uploads/2018/08/ohio-drug-rehab2-2.jpg"
"https://www.columbusrecoverycenter.com/blog/4-reasons-find-aftercare-support/","text/html; charset=UTF-8","200","OK","Indexable","","ad82446017f6a4aecfdbbfe701d48d4c","77","https://www.columbusrecoverycenter.com/blog/4-reasons-find-aftercare-support/","https://www.columbusrecoverycenter.com/blog/4-reasons-find-aftercare-support/"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/08/Ambulance-Icon-300x300-1.jpg","image/jpeg","200","OK","Indexable","","","94","","https://www.columbusrecoverycenter.com/wp-content/uploads/2021/08/Ambulance-Icon-300x300-1.jpg"
"https://www.columbusrecoverycenter.com/fortitude/ptsd-treatment-for-first-responders/psychoeducation-for-ptsd/","text/html; charset=UTF-8","200","OK","Indexable","","9efbb28588f8f85e0f0f7a3a008738de","110","https://www.columbusrecoverycenter.com/fortitude/ptsd-treatment-for-first-responders/psychoeducation-for-ptsd/","https://www.columbusrecoverycenter.com/fortitude/ptsd-treatment-for-first-responders/psychoeducation-for-ptsd/"
"https://www.columbusrecoverycenter.com/blog/5-great-reasons-exercise/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","69","","https://www.columbusrecoverycenter.com/blog/5-great-reasons-exercise/"
"https://www.columbusrecoverycenter.com/blog/former-ohio-state-neurosurgeon-spearheading-use-brain-imaging-addiction-treatment/","text/html; charset=UTF-8","200","OK","Indexable","","c722caea81969bbc6d38f7e7800f53ad","126","https://www.columbusrecoverycenter.com/blog/former-ohio-state-neurosurgeon-spearheading-use-brain-imaging-addiction-treatment/","https://www.columbusrecoverycenter.com/blog/former-ohio-state-neurosurgeon-spearheading-use-brain-imaging-addiction-treatment/"
"https://www.columbusrecoverycenter.com/blog/understanding-tolerance-dependence-addiction-columbus-rehab/","text/html; charset=UTF-8","200","OK","Indexable","","18550caafd960862c2a6955fb99404f6","104","https://www.columbusrecoverycenter.com/blog/understanding-tolerance-dependence-addiction-columbus-rehab/","https://www.columbusrecoverycenter.com/blog/understanding-tolerance-dependence-addiction-columbus-rehab/"
"https://www.columbusrecoverycenter.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js","application/javascript","200","OK","Indexable","","","110","","https://www.columbusrecoverycenter.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js"
"https://www.columbusrecoverycenter.com/blog/is-kratom-addictive/","text/html; charset=UTF-8","200","OK","Indexable","","bb4acfc65757a0945be6f414e69040d1","64","https://www.columbusrecoverycenter.com/blog/is-kratom-addictive/","https://www.columbusrecoverycenter.com/blog/is-kratom-addictive/"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2020/09/Online-Teletherapy.jpg","image/jpeg","200","OK","Indexable","","","88","","https://www.columbusrecoverycenter.com/wp-content/uploads/2020/09/Online-Teletherapy.jpg"
