"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical"
"https://www.bettersleep.com/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/",""
"https://www.bettersleep.com/gift/","1","NOINDEX","","","https://www.bettersleep.com/gift/",""
"https://www.bettersleep.com/ja/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/ja/",""
"https://www.bettersleep.com/ru/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/ru/",""
"https://www.bettersleep.com/sleep-better/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/sleep-better/",""
"https://www.bettersleep.com/studentprogram/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/studentprogram/",""
"https://www.bettersleep.com/info-covid19/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/info-covid19/",""
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/blog/",""
"https://www.bettersleep.com/es/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/es/",""
"https://www.bettersleep.com/sleep-sounds/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/sleep-sounds/",""
"https://www.bettersleep.com/info-chronotypes/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/info-chronotypes/",""
"https://my.bettersleep.com/redirect/signin","1","noindex","","","",""
"https://www.bettersleep.com/blog/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/blog/",""
"https://my.bettersleep.com/sounds","1","noindex","","","",""
"https://www.bettersleep.com/blog/10-minute-meditations-to-try/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/blog/",""
"https://www.bettersleep.com/pt/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/pt/",""
"https://my.bettersleep.com/redirect/register","1","noindex","","","",""
"https://www.bettersleep.com/partners/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/partners/",""
"https://www.bettersleep.com/relaxation-meditation/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/relaxation-meditation/",""
"https://my.bettersleep.com/redeem","1","noindex","","","",""
"https://www.bettersleep.com/fr/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/fr/",""
"https://www.bettersleep.com/for-work/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/for-work/",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","1","noindex, nofollow","","","",""
"https://www.bettersleep.com/bettersleep-faq/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/bettersleep-faq/",""
"https://www.bettersleep.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js","0","","","","",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/fr/techniquesderelaxation/",""
"https://www.bettersleep.com/img/thank_you_bird.png","0","","","","",""
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","1","INDEX, FOLLOW","","","https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/",""
