"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.columbusrecoverycenter.com/","1","Indexable","","https://www.columbusrecoverycenter.com/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/admissions/checklist/","1","Indexable","","https://www.columbusrecoverycenter.com/admissions/checklist/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/admissions/","1","Indexable","","https://www.columbusrecoverycenter.com/admissions/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","1","Indexable","","https://www.columbusrecoverycenter.com/treatment-programs/outpatient/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","1","Indexable","","https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","1","Indexable","","https://www.columbusrecoverycenter.com/ohio-rehab/toledo/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","1","Indexable","","https://www.columbusrecoverycenter.com/ohio-rehab/groveport/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/privacy-policy/","1","Indexable","","https://www.columbusrecoverycenter.com/privacy-policy/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/depression-resource-guide/","1","Indexable","","https://www.columbusrecoverycenter.com/depression-resource-guide/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/drugs/","1","Indexable","","https://www.columbusrecoverycenter.com/drugs/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
"https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","1","Indexable","","https://www.columbusrecoverycenter.com/prescription-drug-abuse-in-america/","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","",""
