"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/01/ohio-drug-rehab-11.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.columbusrecoverycenter.com/wp-content/uploads/2018/11/pill.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/blog/treating-aggression-and-addiction-together-in-ohio-rehab/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/treatment-rehab/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/blog/happens-smart-recovery-ohio/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/drugs/meth-addiction/withdrawal-detox/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/drugs/gabapentin-addiction/symptoms-side-effects/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.columbusrecoverycenter.com/wp-content/uploads/2021/03/Drug-Side-Effects-1024x512.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.columbusrecoverycenter.com/wp-content/uploads/2019/07/Local-News-Cities-And-States-Look-To-Big-Pharma-To-Cover-Costs-Of-The-Opioid-Epidemic-1184x592.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.columbusrecoverycenter.com/drugs/codeine-addiction/withdrawal-detox/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
