"Address","Word Count","Indexability","Indexability Status"
"https://www.bettersleep.com/gift/","143","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/","131","Indexable",""
"https://www.bettersleep.com/studentprogram/","164","Indexable",""
"https://my.bettersleep.com/redirect/signin","0","Non-Indexable","noindex"
"https://my.bettersleep.com/sounds","0","Non-Indexable","noindex"
"https://my.bettersleep.com/redirect/register","0","Non-Indexable","noindex"
"https://my.bettersleep.com/redeem","0","Non-Indexable","noindex"
"https://www.bettersleep.com/cdn-cgi/l/email-protection","114","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sosdestress/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gratitudesingle/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/glowingcompassion/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/whisperedsecretgarden/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sohum/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/tinnitusreliefsinglesa/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/stressandanxietyb/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationfortrauma/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/meditationforchange/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/lovingkindnesssingle/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/relaxingvisualization/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/healinggrief/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/tropicalmoonlight/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/gettingsleepquicker/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/japanesemoonbreathing/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sleepintocreativity/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/bodyscanbedtime/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/easingmindawareness/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/innervoyage/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/sleeptherapydeepcalm/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/gift","0","Non-Indexable","noindex"
"https://www.bettersleep.com/fr/cadeau/","150","Non-Indexable","noindex"
"https://www.bettersleep.com/ja/partners/","87","Indexable",""
"https://my.bettersleep.com/signin","0","Non-Indexable","noindex"
"https://my.bettersleep.com/","0","Non-Indexable","noindex"
"https://my.bettersleep.com/bedtimestories/atriptosrilanka/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/bedtimestories/mirabellethemermaid/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/bedtimestories/tuscanysecretcastle/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/bathtimerelaxationritual/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations","0","Non-Indexable","noindex"
"https://my.bettersleep.com/bedtimestories/dreamerchronicles?utm_source=website&utm_medium=blog&utm_campaign=general","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/covidsomnia/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/onboarding/goals","0","Non-Indexable","noindex"
"https://my.bettersleep.com/embed?selection=Waterfall%2CChirp&volumes=0.8%2C0.81&sharerName=Relax+Melodies","0","Non-Indexable","noindex"
"https://my.bettersleep.com/meditations/mothersday/play","0","Non-Indexable","noindex"
"https://my.bettersleep.com/bedtimestories","0","Non-Indexable","noindex"
"https://my.bettersleep.com/music","0","Non-Indexable","noindex"
"https://my.bettersleep.com/?pid=rm_web&c=blog_insomnia-quotes&af_js_web=true","0","Non-Indexable","noindex"
"https://www.bettersleep.com/relaxmelodies.com/studentprogram/","164","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/relaxmelodies.com/gift/","143","Non-Indexable","Canonicalised,noindex"
