mid,title,type
/m/03xks,Insurance,Topic
/m/021wy4,Life insurance,Insurance category
/g/12215qlb,health insurance in France,Topic
/m/02qvly,Vehicle insurance,Insurance category
/m/02qtqhs,Swedish Social Insurance Agency,Insurance company
/m/01dnzs,Loan,Topic
/g/11h1sqgm4,loan,Topic
/m/0273t5w,Mortgage loan,Topic
/m/02crs_,Student loan,Topic
/m/0g8n5,Loanword,Topic
/m/0273t5w,Mortgage loan,Topic
/m/01m123,Mortgage law,Topic
/m/0dfm1w,Mortgage calculator,Topic
/m/025tgfr,Fixed-rate mortgage,Topic
/m/02w4m0,Reverse mortgage,Topic
/m/04gc2,Lawyer,Occupation
/m/0164wn,Power of attorney,Topic
/m/0hx5v,Roe v. Wade,Court case
/g/122fch2j,Labor and Social Security Attorney,Profession
/m/02q7mgz,Order of Attorneys of Brazil,Bar association
/m/05p8s2,Credit,Topic
/m/0dln9h0,Universal Credit,Topic
/m/028vbm,Crédit Agricole,Bank
/m/078c0c,Navy Federal Credit Union,Credit union
/m/09hbkm,UniCredit,Corporate investment banking company
/m/04gc2,Lawyer,Occupation
/m/01b02_,Burbot,Fish
/m/027clp,Hank Pym,Fictional character
/m/0dn1ct,Personal injury lawyer,Lawyer
/m/03cvw06,Criminal defense lawyer,Criminal defense lawyer
/m/02mwy0,Donatello,Teenage Mutant Ninja Turtles
/m/02gpyk,Donatella Versace,Italian fashion designer
/m/0sj8gcd,Donatello,Singer
/m/0j56d,Donatello,Sculptor
/m/053x0d,Teenage Mutant Ninja Turtles,Animated series
/m/04gc58,Degree,Angle
/m/0ff2b_,Degree of a polynomial,Topic
/m/04gc5s,Degree,Temperature
/m/02162,Celsius,Unit of temperature
/m/04lp,Degree,Degree
/m/014pz4,Web hosting service,Topic
/m/05nw9z,File hosting service,Topic
/m/0cvcvl,Video hosting service,Topic
/m/0x24hj0,SiteGround,Company
/m/02x3kph,Rackspace Technology,Cloud computing company
/m/08_b47,Cause of action,Topic
/m/065gc,Plaintiff,Topic
/m/03gt65,Patent claim,Topic
/m/07psnr,The Claim,2000 film
/m/01yd1w,Claim Jumper,Restaurant company
/m/024jcs,Conference call,Topic
/g/11bzymsn08,TradingView,Social network
/g/11fv609r_n,About You,Company
/g/1hhzg81nx,Trading,Topic
/m/027qg4,Pokémon Trading Card Game,Card game
/m/04q8cv5,Exchange,Organized market
/m/01mf0,Software,Topic
/g/11c2lb6wr3,AnyDesk,Software
/g/11dyj07cv,Journey planner,Topic
/m/02hk9c,Grand Theft Auto: San Andreas,Video game
/g/11ngh7p137,Farming Simulator 22,Video game
/g/11fy4vnb00,The Recall,2017 film
/m/06r8md,Data recovery,Topic
/m/01ppr_,Recovery position,Topic
/g/11rfsntrlt,Recovery and Resilience Plan,Topic
/g/11byvmclhq,Estée Lauder Advanced Night Repair Synchronized Multi-Recovery Complex,Topic
/m/07tvv5,Transfer,Association football
/m/07bsy,Transport,Topic
/g/120phs7w,Assignment,Law
/m/0n5vwry,Wise,Company
/m/029g4f,Spirit Airlines,Passenger airline
/m/03k2qf,Gastroenteritis,Disease
/m/05wy2,Gasoline,Fuel
/m/07h4c7,Gaslighting,Topic
/m/03y91v,Gastritis,Illness
/m/03dcd,Gastroenterology,Branch of medicine
/g/1vxfyl8t,A P Study Circle For Backward Classes,"Government office in Visakhapatnam, India"
/m/0gl3jh5,Turkey meat,Meat
/m/03yj_5,Weight class,Boxing
/m/09dlq,The Merchant of Venice,Play by William Shakespeare
/g/1z2v7yfxy,Power Yoga,Topic
/g/1q6j0hnsm,rehabilitation,Topic
/m/06830y,Rehabilitation,Topic
/m/0l0zz6,Rehab,Song by Amy Winehouse
/m/04czj93,Rehab,Song by Justin Timberlake and Timbaland
/g/1s05q24wb,Rehab,Song by Amy Winehouse
/m/03c1dkx,Therapy,Topic
/m/04_55p,Clear aligners,Topic
/m/07hnp,Thiamine,Medication
/m/0217g,Chemotherapy,Drug type
/g/11j6tw6gz5,Treatment and management of COVID-19,Topic
/m/071kyz,Cord blood,Topic
/m/049jsf,Cord blood bank,Topic
/g/11h15xw4n5,FamilyCord - Cord Blood Banking,Topic
/g/1211pd8k,Percutaneous umbilical cord blood sampling,Diagnostic test
/m/0d4pfn,Premier Inn,Hotel
/m/0496hl,IHG Hotels & Resorts,Company
/m/010x352g,Hotels.com,Website
/m/02q01c8,Travelodge UK,Hospitality company
/m/01xt0w,Four Seasons Hotels and Resorts,Hotel
/m/0drkk,Internet radio,Software genre
/m/03rlt,Internet,Topic
/g/122lklcf,Çiçeksepeti İnternet Hizmetleri,Topic
/m/0352k1,Online banking,Topic
/m/0873c4,IMDb,Topic
/m/014pz4,Web hosting service,Topic
/m/05nw9z,File hosting service,Topic
/m/0cvcvl,Video hosting service,Topic
/m/0x24hj0,SiteGround,Company
/m/02x3kph,Rackspace Technology,Cloud computing company
/m/0mcx2,iPod,MP3 player
/m/05p1b3s,Apple headphones,Wireless headphones
/m/07t99m,Apple iPod nano,MP3 player
/m/04yg_s,iPod Shuffle,MP3 player
/m/02z6yz_,Apple iPod classic,MP3 player
/m/019rl6,Yahoo!,Company
/m/0k23w,Webmail,Topic
/m/085n4,Website,Topic
/m/0828v,World Wide Web,Topic
/g/12pgc_c2n,Naver Webtoon,Publisher
/g/11fyxb59bd,YouTube-MP3,Website
/g/11cs9m5kkd,YouTube Music,Topic
/g/1203nqdt_,YouTuber,Topic
/m/0kfgvxd,YouTube,Website
/g/11dymv0ybb,YouTube Kids,Website
/m/07z4p,Video,File format
/g/11f555cn8l,TikTok,Topic
/m/0gvlgh,Amazon Prime Video,Television channel
/m/01mw1,Video game,TV type
/g/11b7nr6xqy,Videoland,Topic
/m/0kcc7,Movie theater,Building use
/m/0873c4,IMDb,Topic
/m/03npn,Horror,Film genre
/m/0l76z,Sex and the City,American comedy-drama series
/m/02kdv5l,Action,Film genre
/m/04bcr3,Table,Furniture
/m/01xqp7,Table,Information
/g/11h79t_dw6,Table Lamp,Topic
/m/0bh9flk,Tablet computer,Topic
/m/05rbs,Periodic table,Topic
/m/0db0qw,Hamper,Topic
/g/11fl7dy9l1,Laundry Hamper,Topic
/g/11j66z0h5g,The Hamper Emporium,Topic
/g/11fl7dwtbs,Kids' Hamper,Topic
/m/03f6jyw,Billy Childish,English painter
